date;time;average price;quantity available;auction count;
29/03/2015;00:44:42;31833;10139;502;
29/03/2015;01:10:42;31833;10139;502;
29/03/2015;01:36:42;31710;9759;483;
29/03/2015;03:02:42;31567;9759;483;
29/03/2015;03:28:46;30897;10559;487;
29/03/2015;03:54:42;30897;10559;487;
29/03/2015;04:20:42;30897;10559;487;
29/03/2015;04:46:42;31059;10359;486;
29/03/2015;05:12:42;31059;10359;486;
29/03/2015;05:38:42;30725;10537;487;
29/03/2015;06:04:42;30725;10537;487;
29/03/2015;06:30:42;30721;10527;486;
29/03/2015;06:56:42;30721;10527;486;
29/03/2015;07:22:44;31830;9349;480;
29/03/2015;07:48:42;32091;9059;478;
29/03/2015;08:14:42;32091;9059;478;
29/03/2015;08:40:42;32100;9050;477;
29/03/2015;09:06:42;32100;9050;477;
29/03/2015;09:32:42;30735;11216;497;
29/03/2015;09:58:42;31833;11616;501;
29/03/2015;10:24:42;30828;13072;509;
29/03/2015;10:50:42;30396;13516;512;
29/03/2015;11:16:42;30518;13339;510;
29/03/2015;11:42:42;30590;13230;518;
29/03/2015;12:08:42;30793;12884;512;
29/03/2015;12:34:42;31451;12052;500;
29/03/2015;13:00:42;31517;11937;501;
29/03/2015;13:26:42;31741;11556;319;
29/03/2015;13:52:42;32606;10260;306;
29/03/2015;14:18:42;32590;10317;304;
29/03/2015;14:44:42;32261;10903;313;
29/03/2015;15:10:42;32198;10768;299;
29/03/2015;15:36:42;32154;11125;300;
29/03/2015;16:02:42;30977;13251;388;
29/03/2015;16:28:42;30987;13231;387;
29/03/2015;16:54:42;30792;13831;390;
29/03/2015;17:20:42;30321;15076;397;
29/03/2015;17:46:42;29937;14245;392;
29/03/2015;18:12:42;29945;13645;389;
29/03/2015;18:38:42;29223;14258;393;
29/03/2015;19:04:42;29575;15471;408;
29/03/2015;19:30:42;29648;15371;409;
29/03/2015;19:56:42;29716;15171;407;
29/03/2015;20:22:42;28677;16687;417;
29/03/2015;20:48:42;29491;15287;408;
29/03/2015;21:14:42;29376;15565;438;
29/03/2015;21:40:42;29450;15345;427;
29/03/2015;22:06:42;29515;15145;425;
29/03/2015;22:32:42;28839;16759;434;
29/03/2015;22:58:42;28609;17282;438;
29/03/2015;23:24:42;27949;18082;445;
29/03/2015;23:50:42;27889;18082;449;
30/03/2015;00:16:42;28054;17682;447;
30/03/2015;00:42:42;28049;17682;447;
30/03/2015;01:08:42;28010;17282;445;
30/03/2015;01:34:42;27312;18796;451;
30/03/2015;02:00:42;27312;18796;451;
30/03/2015;02:26:42;26710;20196;458;
30/03/2015;02:52:42;26710;20196;458;
30/03/2015;03:18:42;26997;19396;454;
30/03/2015;03:44:42;26997;19396;454;
30/03/2015;04:10:42;27004;19342;400;
30/03/2015;04:36:42;27004;19342;400;
30/03/2015;05:02:42;28104;16742;387;
30/03/2015;05:28:42;28096;16770;389;
30/03/2015;05:54:42;28076;16850;393;
30/03/2015;06:20:42;28076;16850;393;
30/03/2015;06:46:42;27855;16330;341;
30/03/2015;07:12:42;27937;16252;340;
30/03/2015;07:38:42;27266;17652;344;
30/03/2015;08:04:42;27892;16152;337;
30/03/2015;08:30:42;27892;16152;337;
30/03/2015;08:56:42;28603;14145;304;
30/03/2015;09:22:42;28625;14036;299;
30/03/2015;09:48:42;28354;14636;302;
30/03/2015;10:14:42;28270;12085;285;
30/03/2015;10:40:42;29165;10905;322;
30/03/2015;11:06:42;29097;11235;339;
30/03/2015;11:32:45;29484;9735;328;
30/03/2015;11:58:42;29638;9880;326;
30/03/2015;12:24:42;29213;10868;426;
30/03/2015;12:50:42;29083;11068;430;
30/03/2015;13:16:42;30581;8170;389;
30/03/2015;13:42:42;30582;8560;372;
30/03/2015;14:08:42;30405;8840;386;
30/03/2015;14:34:42;30182;8847;387;
30/03/2015;15:00:42;29493;9707;412;
30/03/2015;15:26:42;27788;10589;433;
30/03/2015;15:52:42;27833;11058;436;
30/03/2015;16:18:42;27833;11058;436;
30/03/2015;16:44:42;28344;10358;428;
30/03/2015;17:10:42;28297;10612;483;
30/03/2015;17:36:42;29426;9830;464;
30/03/2015;18:02:42;28941;10296;505;
30/03/2015;18:28:42;29463;9906;410;
30/03/2015;18:54:42;30211;9079;402;
30/03/2015;19:20:42;30177;9053;401;
30/03/2015;19:46:42;30428;8890;386;
30/03/2015;20:12:42;30747;8410;369;
30/03/2015;20:38:42;27766;3497;159;
30/03/2015;21:04:42;27854;3697;159;
30/03/2015;21:30:42;27854;3697;159;
30/03/2015;21:56:42;26865;5657;175;
30/03/2015;22:22:42;26715;5945;179;
30/03/2015;22:48:42;26618;6459;178;
30/03/2015;23:14:42;26557;6692;201;
30/03/2015;23:40:42;26957;5360;177;
31/03/2015;00:06:42;27854;3676;81;
31/03/2015;00:32:42;27416;4276;84;
31/03/2015;00:58:42;27416;4276;84;
31/03/2015;01:24:42;24867;5554;136;
31/03/2015;01:50:42;25031;5236;134;
31/03/2015;02:16:42;25031;5236;134;
31/03/2015;02:42:42;25070;4636;131;
31/03/2015;03:08:42;25144;3676;119;
31/03/2015;03:34:45;25144;3680;120;
31/03/2015;04:00:42;25144;3680;120;
31/03/2015;04:26:42;25144;3680;120;
31/03/2015;04:52:42;25032;2780;114;
31/03/2015;05:18:42;13075;803;71;
31/03/2015;05:44:42;13075;803;71;
31/03/2015;06:10:42;13075;803;71;
31/03/2015;06:36:42;14361;853;72;
31/03/2015;07:02:42;14361;853;72;
31/03/2015;07:28:43;17463;1175;75;
31/03/2015;07:54:42;16420;975;74;
31/03/2015;08:20:42;16734;1000;75;
31/03/2015;08:46:42;21158;1648;79;
31/03/2015;09:12:42;23407;3395;107;
31/03/2015;09:38:42;23173;2795;101;
31/03/2015;10:04:42;23167;2775;97;
31/03/2015;10:30:42;21680;2541;68;
31/03/2015;10:56:42;23707;2775;97;
31/03/2015;11:22:45;24047;3975;103;
31/03/2015;11:48:42;24262;4030;104;
31/03/2015;12:14:42;24086;1447;100;
31/03/2015;12:40:42;24631;4180;104;
31/03/2015;13:06:42;24879;4480;105;
31/03/2015;13:32:42;24612;5728;112;
31/03/2015;13:58:42;24611;5729;113;
31/03/2015;14:24:42;24655;5729;114;
31/03/2015;14:50:42;24652;5732;117;
31/03/2015;15:16:42;24650;5632;116;
31/03/2015;15:42:42;24918;5475;111;
31/03/2015;16:08:42;24970;5275;110;
31/03/2015;16:34:42;24854;5295;116;
31/03/2015;17:00:42;24050;6495;122;
31/03/2015;17:26:42;24050;6495;122;
31/03/2015;17:52:42;25124;5895;119;
31/03/2015;18:18:42;25174;5705;119;
31/03/2015;18:44:42;23602;7305;127;
31/03/2015;19:10:42;24090;7518;130;
31/03/2015;19:36:42;24092;7718;131;
31/03/2015;20:02:42;24092;7718;131;
31/03/2015;20:28:42;24148;7518;130;
31/03/2015;20:54:42;23947;7893;131;
31/03/2015;21:20:42;23943;7908;146;
31/03/2015;21:46:42;23704;8461;149;
31/03/2015;22:12:42;24003;7383;139;
31/03/2015;22:38:42;24453;7105;117;
31/03/2015;23:04:42;24403;6305;113;
31/03/2015;23:30:42;24055;7714;121;
31/03/2015;23:56:42;24054;8021;142;
01/04/2015;00:22:42;23816;8719;150;
01/04/2015;00:48:42;23909;8319;148;
01/04/2015;01:14:42;23795;8478;149;
01/04/2015;01:40:42;24973;8078;109;
01/04/2015;02:06:42;24973;8078;109;
01/04/2015;02:32:42;24973;8078;109;
01/04/2015;02:58:42;25272;7478;106;
01/04/2015;03:24:42;25272;7478;106;
01/04/2015;03:50:42;25348;7278;105;
01/04/2015;04:16:42;25348;7278;105;
01/04/2015;04:42:42;25355;7178;104;
01/04/2015;05:08:42;25355;7178;104;
01/04/2015;06:00:42;25698;6304;100;
01/04/2015;06:26:42;25698;6304;100;
01/04/2015;06:52:42;25698;6304;100;
01/04/2015;07:18:42;25698;6304;100;
01/04/2015;07:44:42;25698;6304;100;
01/04/2015;08:10:42;26101;5719;96;
01/04/2015;08:36:42;26184;5319;94;
01/04/2015;09:02:42;26245;4867;101;
01/04/2015;09:28:42;25041;6156;108;
01/04/2015;09:54:42;25542;5659;106;
01/04/2015;10:20:42;26148;4930;82;
01/04/2015;10:46:42;25644;5530;85;
01/04/2015;11:12:42;25978;5647;58;
01/04/2015;11:38:42;26148;6356;62;
01/04/2015;12:04:42;26148;6356;62;
01/04/2015;12:30:42;25807;6348;62;
01/04/2015;12:56:42;25743;6648;68;
01/04/2015;13:22:42;25362;6748;69;
01/04/2015;13:48:42;25351;6948;89;
01/04/2015;14:14:42;25347;6973;91;
01/04/2015;14:40:42;25267;7183;93;
01/04/2015;15:06:42;25254;7163;91;
01/04/2015;15:32:42;25254;7163;91;
01/04/2015;15:58:42;25025;7163;91;
01/04/2015;16:24:42;25184;6797;90;
01/04/2015;16:50:42;25176;7107;83;
01/04/2015;17:16:42;25019;7320;85;
01/04/2015;17:42:42;25132;7734;88;
01/04/2015;18:08:42;25418;7334;86;
01/04/2015;18:34:42;24127;9134;95;
01/04/2015;19:00:42;24864;8734;93;
01/04/2015;19:26:42;24928;9534;97;
01/04/2015;19:52:42;25113;8950;96;
01/04/2015;20:18:42;25114;8840;94;
01/04/2015;20:44:42;24903;9340;98;
01/04/2015;21:10:42;24763;9540;99;
01/04/2015;21:36:42;24787;9493;97;
01/04/2015;22:02:42;24787;9493;97;
01/04/2015;22:28:42;24840;9373;100;
01/04/2015;22:54:42;24738;9753;101;
01/04/2015;23:20:42;24791;6512;73;
01/04/2015;23:46:42;24755;6562;74;
02/04/2015;00:12:42;24757;7170;77;
02/04/2015;00:38:42;24767;7440;93;
02/04/2015;01:04:42;28261;11100;108;
02/04/2015;01:30:42;28261;11100;108;
02/04/2015;01:56:42;28261;11100;108;
02/04/2015;02:22:42;27971;11503;111;
02/04/2015;02:48:42;27835;11703;112;
02/04/2015;03:14:42;27971;11503;111;
02/04/2015;03:40:42;28373;10903;108;
02/04/2015;04:06:42;28659;10303;105;
02/04/2015;04:32:42;28695;10203;104;
02/04/2015;04:58:42;28695;10203;104;
02/04/2015;05:24:42;28695;10203;104;
02/04/2015;05:50:42;28695;10203;104;
02/04/2015;06:16:42;28898;9753;97;
02/04/2015;06:42:42;28898;9753;97;
02/04/2015;07:08:42;28093;10353;100;
02/04/2015;07:34:42;28060;10231;98;
02/04/2015;08:00:42;28060;10231;98;
02/04/2015;08:26:42;29022;9322;93;
02/04/2015;08:52:42;29007;9337;108;
02/04/2015;09:18:42;28398;10619;120;
02/04/2015;09:44:42;28428;10504;119;
02/04/2015;10:10:42;28564;10209;131;
02/04/2015;10:36:42;29132;9509;126;
02/04/2015;11:02:42;29612;8609;121;
02/04/2015;11:28:42;28416;9595;125;
02/04/2015;11:54:42;28503;9340;123;
02/04/2015;12:20:42;28534;9540;124;
02/04/2015;12:46:42;29298;7813;96;
02/04/2015;13:12:42;26135;11613;115;
02/04/2015;13:38:42;26210;11713;115;
02/04/2015;14:04:42;26429;11313;113;
02/04/2015;14:30:42;26590;11113;112;
02/04/2015;14:56:42;26710;10913;111;
02/04/2015;15:22:42;27239;10113;107;
02/04/2015;15:48:42;27225;10132;108;
02/04/2015;16:14:42;27284;10312;107;
02/04/2015;16:40:42;27427;10112;106;
02/04/2015;17:06:42;27427;10112;106;
02/04/2015;17:32:42;27604;9874;103;
02/04/2015;17:58:42;27528;10074;105;
02/04/2015;18:24:42;27804;9700;103;
02/04/2015;18:50:42;27870;9569;103;
02/04/2015;19:16:42;28185;9825;106;
02/04/2015;19:42:42;28909;9025;102;
02/04/2015;20:08:42;29648;8416;98;
02/04/2015;20:34:42;29425;8453;82;
02/04/2015;21:00:42;29499;8453;82;
02/04/2015;21:26:42;29499;8453;82;
02/04/2015;21:52:42;29499;8453;82;
02/04/2015;22:18:42;29196;8653;83;
02/04/2015;22:44:42;32697;6150;69;
02/04/2015;23:10:42;33148;5850;66;
02/04/2015;23:36:42;33438;5650;65;
03/04/2015;00:02:42;33792;5450;63;
03/04/2015;00:28:42;34489;5050;61;
03/04/2015;00:54:42;32836;6000;156;
03/04/2015;01:36:46;33706;5462;148;
03/04/2015;02:06:46;33484;5612;144;
03/04/2015;02:36:46;33824;5422;125;
03/04/2015;03:06:46;33824;5422;125;
03/04/2015;03:36:46;33824;5422;125;
03/04/2015;04:06:46;33824;5422;125;
03/04/2015;04:36:46;34869;4910;73;
03/04/2015;05:06:46;34869;4910;73;
03/04/2015;05:36:46;34869;4910;73;
03/04/2015;06:06:46;34869;4910;73;
03/04/2015;06:36:46;33990;5037;74;
03/04/2015;07:06:46;33990;5037;74;
03/04/2015;07:36:46;33990;5037;74;
03/04/2015;08:06:46;33990;5037;74;
03/04/2015;08:36:46;33033;5637;77;
03/04/2015;09:06:46;30983;7549;98;
03/04/2015;09:36:46;30680;7819;99;
03/04/2015;10:06:46;30680;7819;99;
03/04/2015;10:36:46;31060;7427;98;
03/04/2015;11:06:46;31303;7167;93;
03/04/2015;11:36:46;29880;7947;113;
03/04/2015;12:06:46;31888;6567;87;
03/04/2015;12:36:46;31196;6967;97;
03/04/2015;13:06:46;31055;7087;89;
03/04/2015;13:36:46;29691;9017;97;
03/04/2015;14:06:46;29821;8817;96;
03/04/2015;14:36:46;30385;8311;94;
03/04/2015;15:06:46;30649;8121;69;
03/04/2015;15:36:46;30268;8571;100;
03/04/2015;16:06:49;30034;8626;110;
03/04/2015;16:36:46;32532;8763;111;
03/04/2015;17:06:46;32476;8963;112;
03/04/2015;17:36:46;32464;8763;111;
03/04/2015;18:06:46;33225;8169;109;
03/04/2015;18:36:46;33004;8369;110;
03/04/2015;19:06:46;31668;10038;107;
03/04/2015;19:36:46;31901;9438;104;
03/04/2015;20:06:46;32273;9038;101;
03/04/2015;20:36:46;32443;8838;100;
03/04/2015;21:06:46;32411;8859;101;
03/04/2015;21:36:46;33638;7666;91;
03/04/2015;22:06:46;32583;8666;96;
03/04/2015;22:36:46;33243;7998;90;
03/04/2015;23:06:46;33365;7770;88;
03/04/2015;23:36:46;32159;9023;108;
04/04/2015;00:06:46;33296;7823;102;
04/04/2015;00:36:46;33296;7823;102;
04/04/2015;01:06:46;34715;11523;381;
04/04/2015;01:36:46;34762;11723;391;
04/04/2015;02:06:46;34762;11723;391;
04/04/2015;02:36:46;34762;11723;391;
04/04/2015;03:06:46;34762;11723;391;
04/04/2015;03:36:46;34762;11723;391;
04/04/2015;04:06:46;34762;11723;391;
04/04/2015;04:36:46;34762;11723;391;
04/04/2015;05:06:46;34942;11523;387;
04/04/2015;05:36:46;34942;11523;387;
04/04/2015;06:06:46;34973;11488;383;
04/04/2015;06:36:46;34973;11488;383;
04/04/2015;07:06:46;34973;11488;383;
04/04/2015;07:36:46;34739;11688;385;
04/04/2015;08:06:46;34188;12188;390;
04/04/2015;08:36:46;34500;11788;388;
04/04/2015;09:06:46;35090;11081;384;
04/04/2015;09:36:46;35142;11081;386;
04/04/2015;10:06:46;34730;11649;395;
04/04/2015;10:36:46;34423;11885;409;
04/04/2015;11:06:49;34423;11885;409;
04/04/2015;11:36:46;34210;12007;411;
04/04/2015;12:06:46;32563;13657;409;
04/04/2015;12:36:46;32563;13657;409;
04/04/2015;13:06:46;32563;13657;409;
04/04/2015;13:36:46;32563;13657;409;
05/04/2015;01:36:46;32759;12502;373;
05/04/2015;02:06:46;32535;12962;404;
05/04/2015;02:36:46;32801;12677;400;
05/04/2015;03:06:46;32224;13327;408;
05/04/2015;03:36:46;32159;13397;409;
05/04/2015;04:06:46;30595;14997;417;
05/04/2015;04:36:46;30595;14997;417;
05/04/2015;05:06:46;30595;14997;417;
05/04/2015;05:36:46;30595;14997;417;
05/04/2015;06:06:46;30901;14597;415;
05/04/2015;06:36:46;30901;14597;415;
05/04/2015;07:06:46;31615;14070;412;
05/04/2015;07:36:46;31440;14391;419;
05/04/2015;08:06:46;31440;14391;419;
05/04/2015;08:36:46;31085;14487;413;
05/04/2015;09:06:46;31719;13587;408;
05/04/2015;09:36:46;35250;10212;396;
05/04/2015;10:06:46;32094;12752;439;
05/04/2015;10:36:46;31700;13141;431;
05/04/2015;11:06:46;31915;13164;427;
05/04/2015;11:36:46;32146;13205;432;
05/04/2015;12:06:46;31691;13487;390;
05/04/2015;12:36:46;30705;14501;396;
05/04/2015;13:06:46;32375;12872;386;
05/04/2015;13:36:46;32490;12672;385;
05/04/2015;14:06:48;32490;12672;385;
05/04/2015;14:36:46;32258;12706;393;
05/04/2015;15:06:46;32147;12804;395;
05/04/2015;15:36:46;32147;12804;395;
05/04/2015;16:06:46;32913;12227;393;
05/04/2015;16:36:46;31981;13125;398;
05/04/2015;17:06:46;30200;13134;390;
05/04/2015;17:36:46;29461;14060;408;
05/04/2015;18:06:46;28834;15059;507;
05/04/2015;18:36:46;29585;14323;498;
05/04/2015;19:06:46;31482;11923;485;
05/04/2015;19:36:46;31991;11104;476;
05/04/2015;20:06:46;32380;10784;573;
05/04/2015;20:36:46;32990;10184;570;
05/04/2015;21:06:46;31586;11032;593;
05/04/2015;21:36:46;31721;11181;612;
05/04/2015;22:06:46;32156;10781;610;
05/04/2015;22:36:46;32000;10981;611;
05/04/2015;23:06:46;31987;10991;612;
05/04/2015;23:36:46;30522;11894;609;
06/04/2015;00:06:46;30944;11574;607;
06/04/2015;00:36:46;34013;9540;462;
06/04/2015;01:06:46;33765;9740;463;
06/04/2015;01:36:46;29148;8140;281;
06/04/2015;02:06:46;28184;8740;269;
06/04/2015;02:36:46;28093;8860;275;
06/04/2015;03:06:46;28075;8880;276;
06/04/2015;03:36:46;28259;8680;275;
06/04/2015;04:06:46;28259;8680;275;
06/04/2015;04:36:46;28281;8410;259;
06/04/2015;05:06:46;28483;8210;249;
06/04/2015;05:36:46;28483;8210;249;
06/04/2015;06:06:46;28483;8210;249;
06/04/2015;06:36:46;28279;8410;250;
06/04/2015;07:06:46;28279;8410;250;
06/04/2015;07:36:46;28393;7860;242;
06/04/2015;08:06:46;28669;7557;240;
06/04/2015;08:36:46;28975;7297;236;
06/04/2015;09:06:46;29189;6627;225;
06/04/2015;09:36:46;29054;6750;248;
06/04/2015;10:06:46;28887;6853;260;
06/04/2015;10:36:46;27962;9660;242;
06/04/2015;11:06:46;27836;9060;239;
06/04/2015;11:36:46;27241;10210;242;
06/04/2015;12:06:46;27820;8811;236;
06/04/2015;12:36:46;27958;8023;230;
06/04/2015;13:06:46;27619;7361;234;
06/04/2015;13:36:46;28002;6760;209;
06/04/2015;14:06:46;28047;6660;208;
06/04/2015;14:36:46;29486;4910;189;
06/04/2015;15:06:46;29409;4860;192;
06/04/2015;15:36:46;27904;6460;224;
06/04/2015;16:06:46;28353;5584;216;
06/04/2015;16:36:46;28316;5793;227;
06/04/2015;17:06:46;28229;5893;228;
06/04/2015;17:36:46;28856;5134;213;
06/04/2015;18:06:46;28744;5234;214;
06/04/2015;18:36:46;28919;3770;167;
06/04/2015;19:06:46;28351;4170;175;
06/04/2015;19:36:50;28351;4170;175;
06/04/2015;20:06:46;28919;3770;167;
06/04/2015;20:36:46;28556;3841;194;
06/04/2015;21:06:46;30082;4691;196;
06/04/2015;21:36:46;30082;4691;196;
06/04/2015;22:06:48;29636;5141;221;
06/04/2015;22:36:46;29627;5148;222;
06/04/2015;23:06:46;30056;4800;199;
06/04/2015;23:36:46;29854;5000;200;
07/04/2015;00:06:46;30099;4659;184;
07/04/2015;00:36:46;29763;4309;180;
07/04/2015;01:06:46;30103;3967;148;
07/04/2015;01:36:46;30092;3982;149;
07/04/2015;02:06:46;30092;3982;149;
07/04/2015;02:36:46;30226;3586;119;
07/04/2015;03:06:46;30235;3581;110;
07/04/2015;03:36:46;30235;3581;110;
07/04/2015;04:06:46;30235;3581;110;
07/04/2015;04:36:46;35402;4781;116;
07/04/2015;05:06:46;35422;4773;112;
07/04/2015;05:36:46;35422;4773;112;
07/04/2015;06:06:46;35581;4623;109;
07/04/2015;06:36:46;35450;4753;122;
07/04/2015;07:06:46;35450;4753;122;
07/04/2015;07:36:46;35215;4973;144;
07/04/2015;08:06:46;35215;4973;144;
07/04/2015;08:36:46;34086;5373;146;
07/04/2015;09:06:46;36642;4789;144;
07/04/2015;09:36:46;36642;4789;144;
07/04/2015;10:06:46;36884;5255;147;
07/04/2015;10:36:46;33640;6689;163;
07/04/2015;11:06:46;34225;6550;164;
07/04/2015;11:36:46;29944;9261;168;
07/04/2015;12:06:46;36868;5644;150;
07/04/2015;12:36:46;36388;5826;152;
07/04/2015;13:06:46;34485;6826;157;
07/04/2015;13:36:46;35639;6153;100;
07/04/2015;14:06:46;36351;6594;130;
07/04/2015;14:36:46;35179;7012;148;
07/04/2015;15:06:46;35758;7894;138;
07/04/2015;15:36:46;35866;7669;134;
07/04/2015;16:06:46;35209;7866;144;
07/04/2015;16:36:46;35816;7629;132;
07/04/2015;17:06:46;35623;7854;134;
07/04/2015;17:36:46;35735;7129;131;
07/04/2015;18:06:46;35037;7529;142;
07/04/2015;18:36:46;34648;7729;143;
07/04/2015;19:06:46;34324;8549;155;
07/04/2015;19:36:46;34324;8549;155;
07/04/2015;20:06:47;34986;8169;139;
07/04/2015;20:36:46;34954;8197;141;
07/04/2015;21:06:46;34328;8597;171;
07/04/2015;21:36:46;34328;8597;171;
07/04/2015;22:06:46;32550;9638;178;
07/04/2015;22:36:46;34545;8546;164;
07/04/2015;23:06:46;31760;10846;181;
07/04/2015;23:36:46;32497;10046;177;
08/04/2015;00:06:46;33846;8852;172;
08/04/2015;00:36:46;33201;9376;183;
08/04/2015;01:06:46;33083;9476;184;
08/04/2015;01:36:46;31687;9626;160;
08/04/2015;02:06:46;31834;9476;157;
08/04/2015;04:06:46;33372;7798;141;
08/04/2015;04:36:46;29361;5798;131;
08/04/2015;05:06:46;29328;5835;132;
08/04/2015;05:36:46;29285;5885;133;
08/04/2015;06:06:46;29285;5885;133;
08/04/2015;06:36:46;29285;5885;133;
08/04/2015;07:06:46;29462;4985;127;
08/04/2015;07:36:46;30650;3949;113;
08/04/2015;08:06:46;30650;3949;113;
08/04/2015;08:36:46;30620;4243;115;
08/04/2015;09:06:46;30620;4243;115;
08/04/2015;09:36:46;30592;4443;116;
08/04/2015;10:06:46;30898;3043;104;
08/04/2015;10:36:46;30898;3043;104;
08/04/2015;11:06:46;30127;3081;104;
08/04/2015;11:36:46;30134;4068;114;
08/04/2015;12:06:46;30221;5768;115;
08/04/2015;12:36:46;30170;7518;150;
08/04/2015;13:06:46;30185;7168;153;
08/04/2015;13:36:46;30549;6221;118;
08/04/2015;14:06:46;29358;7921;135;
08/04/2015;14:36:46;29345;7761;119;
08/04/2015;15:06:46;29333;7630;116;
08/04/2015;15:36:46;28759;9030;123;
08/04/2015;16:06:46;28820;9140;133;
08/04/2015;16:36:46;28296;10566;142;
08/04/2015;17:06:46;28296;10566;142;
08/04/2015;17:36:46;28296;10566;161;
08/04/2015;18:06:46;28385;10216;169;
