itemId ;Nbr enchères;
81956;194;
114821;254;
114836;191;
114931;224;
33470;1022;
49908;287;
774;161;
33568;139;
115504;1065;
17203;133;
115526;339;
82800;6849;
50045;150;
50077;161;
115798;103;
115801;116;
115803;459;
115805;744;
115804;367;
115807;397;
115806;305;
115809;192;
115808;293;
115811;125;
115813;239;
115812;267;
83107;186;
1210;212;
34052;200;
34054;455;
34055;174;
66918;128;
116170;239;
1529;246;
116428;184;
67483;123;
67486;131;
116654;171;
18562;232;
2319;120;
68039;103;
2589;418;
2592;324;
84652;160;
2770;136;
2771;122;
2772;192;
51950;557;
2840;208;
2842;150;
35623;135;
35624;209;
35627;110;
52183;113;
52186;182;
52325;253;
52327;381;
52328;661;
52329;552;
85221;136;
118006;176;
118008;183;
118015;137;
52555;463;
52718;174;
52719;309;
52721;161;
52722;101;
3575;189;
3577;206;
118331;104;
118337;150;
118344;109;
118346;106;
85683;151;
85691;213;
85695;103;
85696;178;
85699;107;
85700;121;
118472;5896;
3820;151;
52976;296;
52983;197;
53010;1843;
3858;221;
3860;191;
3864;125;
118573;147;
53039;140;
118576;858;
118631;1280;
118630;1294;
118632;1849;
36912;149;
36913;147;
36916;108;
36923;114;
4234;152;
102542;165;
4304;120;
4306;313;
4338;513;
4339;119;
86541;107;
119342;103;
21213;130;
54443;689;
87216;150;
87277;166;
87276;144;
21841;1660;
87393;123;
87392;146;
21877;957;
21881;129;
21882;111;
21887;167;
120300;110;
54849;157;
104046;140;
104048;118;
104051;119;
104052;113;
38557;259;
104099;132;
104102;109;
104105;111;
104104;146;
104106;124;
104109;122;
104108;156;
104120;122;
104123;138;
104122;138;
104124;104;
104127;119;
104126;125;
104129;138;
104128;148;
104130;110;
104133;145;
104135;109;
104137;126;
104136;116;
104138;124;
38682;158;
87881;151;
87880;126;
87883;121;
87882;112;
87885;118;
87884;155;
87887;110;
104270;157;
87889;109;
87888;110;
87890;132;
87893;152;
104276;122;
87895;130;
87894;113;
87897;120;
87899;125;
87901;174;
87900;116;
87902;115;
6037;209;
22445;256;
22446;351;
22450;107;
22452;124;
22573;222;
22574;193;
22575;117;
72093;360;
72092;294;
72095;1142;
72094;364;
72096;164;
72103;377;
72104;892;
72120;936;
72163;101;
6657;162;
6662;149;
72234;178;
72238;273;
23424;292;
23425;191;
23445;126;
23447;101;
7068;117;
7075;119;
7078;107;
89112;195;
40195;130;
72988;832;
122343;927;
122345;662;
122344;303;
122347;193;
122348;149;
7909;210;
7910;115;
89868;141;
40900;123;
40903;142;
40912;143;
40916;143;
40919;116;
40920;183;
40921;109;
8170;212;
41094;135;
41095;127;
41096;104;
41099;169;
41100;145;
41101;136;
41102;131;
41108;142;
41110;118;
74247;154;
74249;297;
74248;155;
74250;139;
41517;116;
41518;130;
41524;141;
41526;158;
41527;160;
41529;125;
41530;133;
41532;130;
41537;130;
41538;195;
41540;170;
41541;138;
41542;118;
41552;131;
41599;321;
74707;142;
74833;118;
74839;353;
74842;105;
25707;115;
58480;157;
74866;161;
75014;126;
42396;102;
42397;118;
42399;173;
42403;126;
42404;120;
42405;133;
42407;129;
42408;123;
42409;167;
42412;158;
42415;134;
42417;125;
42453;127;
42454;139;
42456;154;
42457;143;
42459;164;
42461;106;
42463;151;
42465;140;
42466;136;
42467;212;
42470;273;
42472;124;
42473;171;
42736;156;
42739;135;
42743;137;
42744;128;
42745;145;
42746;135;
42748;117;
42751;123;
42753;141;
42754;113;
42897;162;
42898;144;
42901;139;
42902;131;
108439;108;
42903;113;
42904;114;
42905;216;
42906;119;
42908;131;
42910;151;
42912;209;
42915;108;
42917;141;
42956;128;
42957;171;
42960;126;
42961;142;
42963;102;
42964;142;
42965;204;
42966;186;
42967;162;
42968;118;
42970;205;
42971;154;
42973;144;
42974;172;
43125;108;
76061;424;
43316;165;
43331;118;
43332;135;
43334;128;
43335;159;
43338;128;
43340;135;
43342;156;
43343;140;
43350;113;
43351;119;
43355;106;
43356;145;
43359;165;
76130;263;
43364;158;
76133;112;
76132;134;
43365;115;
43366;136;
76135;159;
76134;130;
43368;107;
76137;200;
43369;103;
76136;201;
43371;163;
76138;223;
76140;174;
43373;152;
43374;129;
76142;223;
43376;153;
43377;110;
43378;118;
43380;154;
43381;163;
43385;152;
43386;120;
43388;134;
10620;230;
43389;149;
43390;103;
43391;156;
